activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,21,entropy,1,1,0,1,0,11,adaptive,3,sqrt,2,2,randomForestClassifier,6,10,lbfgs,distance,0.9340813464235624
identity,kd_tree,20,entropy,1,1,1,0,0,22,constant,92,auto,3,11,randomForestClassifier,8,1,adam,distance,0.9340813464235624
relu,kd_tree,25,entropy,1,0,1,0,0,22,constant,92,auto,3,11,randomForestClassifier,8,1,adam,distance,0.9326788218793829
logistic,brute,16,entropy,1,0,1,0,0,31,invscaling,53,sqrt,16,33,randomForestClassifier,8,1,adam,uniform,0.9326788218793829
logistic,kd_tree,17,gini,1,1,1,0,0,30,constant,94,log2,12,22,randomForestClassifier,4,4,adam,uniform,0.9326788218793829
identity,auto,21,gini,1,0,0,1,1,24,invscaling,23,log2,9,15,kneighborsClassifier,8,10,lbfgs,distance,0.9340813464235624
logistic,kd_tree,17,gini,1,1,1,1,0,30,constant,94,log2,12,22,randomForestClassifier,4,4,adam,uniform,0.9438990182328191
relu,auto,21,gini,1,1,0,1,0,24,invscaling,19,log2,9,15,kneighborsClassifier,8,10,lbfgs,uniform,0.9424964936886395
logistic,brute,32,gini,1,0,1,1,0,11,constant,14,sqrt,2,2,randomForestClassifier,6,10,lbfgs,distance,0.9481065918653576
identity,kd_tree,20,entropy,1,1,1,0,0,7,adaptive,3,sqrt,2,2,randomForestClassifier,6,10,lbfgs,distance,0.9340813464235624
relu,auto,21,entropy,1,1,0,1,0,22,constant,59,auto,3,11,randomForestClassifier,8,1,adam,distance,0.9467040673211781
identity,kd_tree,20,entropy,0,1,1,0,0,22,constant,92,auto,3,11,randomForestClassifier,8,1,adam,distance,0.5539971949509116
relu,kd_tree,25,entropy,1,0,1,0,0,31,invscaling,53,sqrt,16,33,randomForestClassifier,8,1,adam,uniform,0.9326788218793829
logistic,brute,16,entropy,1,0,1,0,0,30,constant,94,auto,12,22,randomForestClassifier,4,4,adam,uniform,0.9326788218793829
logistic,kd_tree,17,gini,1,1,1,0,1,26,invscaling,41,sqrt,13,30,randomForestClassifier,3,7,sgd,distance,0.9354838709677419
logistic,brute,32,gini,1,0,1,1,0,11,constant,14,sqrt,2,2,randomForestClassifier,6,10,lbfgs,distance,0.9481065918653576
identity,auto,21,gini,1,0,0,1,1,26,invscaling,41,sqrt,13,30,randomForestClassifier,3,4,sgd,distance,0.9467040673211781
relu,auto,21,entropy,1,1,0,1,0,22,constant,59,auto,3,11,randomForestClassifier,8,1,adam,distance,0.9467040673211781
logistic,kd_tree,17,gini,1,1,1,1,1,24,invscaling,23,log2,9,15,kneighborsClassifier,8,10,lbfgs,distance,0.9438990182328191
relu,auto,21,gini,1,1,0,1,0,30,constant,94,log2,12,22,randomForestClassifier,4,4,adam,uniform,0.9438990182328191
logistic,kd_tree,17,gini,1,1,1,1,0,30,constant,94,log2,12,22,randomForestClassifier,4,4,adam,uniform,0.9438990182328191
logistic,brute,32,gini,1,0,1,1,1,24,invscaling,23,log2,9,15,kneighborsClassifier,8,10,lbfgs,distance,0.9424964936886395
relu,auto,21,gini,1,1,0,1,0,24,invscaling,19,log2,9,15,kneighborsClassifier,8,10,lbfgs,uniform,0.9424964936886395
logistic,kd_tree,17,gini,1,1,1,0,1,26,invscaling,41,sqrt,13,30,randomForestClassifier,3,7,sgd,distance,0.9354838709677419
