activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,13,mae,1,0,1,1,1,0,0,1,33,adaptive,90,auto,19,8,nnRegressor,4,2,adam,distance,0.36583642411055795
logistic,auto,19,poisson,1,1,1,1,1,0,1,0,30,constant,14,log2,7,5,nnRegressor,9,9,adam,uniform,0.4715801777427022
relu,ball_tree,28,mse,1,0,1,1,0,0,1,0,8,constant,41,log2,14,17,nnRegressor,9,2,sgd,uniform,0.3891929055641924
tanh,kd_tree,29,mae,1,0,1,1,0,0,0,1,9,adaptive,96,sqrt,19,25,kneighborsRegressor,4,3,lbfgs,distance,0.13278808528392738
identity,ball_tree,9,mae,1,0,1,1,1,0,0,0,7,constant,17,auto,3,9,nnRegressor,1,7,sgd,uniform,0.3723559485627944
tanh,kd_tree,29,mae,1,0,1,1,1,0,1,1,22,adaptive,49,auto,4,31,kneighborsRegressor,4,9,sgd,distance,0.45957447173136434
logistic,auto,26,mse,0,0,1,1,1,1,1,1,22,adaptive,49,auto,4,31,kneighborsRegressor,4,9,sgd,distance,0.7896555501518943
logistic,brute,20,mae,0,1,1,1,1,1,1,0,34,constant,14,log2,2,5,nnRegressor,9,9,adam,uniform,0.6926543712998657
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,56,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,56,auto,16,10,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,brute,20,mae,0,1,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6017804406880982
logistic,brute,20,mae,0,1,1,1,1,1,0,1,33,adaptive,90,auto,19,8,nnRegressor,4,2,adam,distance,0.5226134175448285
logistic,brute,20,mae,0,1,1,1,1,1,0,1,33,adaptive,90,auto,19,8,nnRegressor,4,2,adam,distance,0.5226134175448285
logistic,auto,19,poisson,1,1,1,1,1,0,1,0,30,constant,14,log2,7,5,nnRegressor,9,9,adam,uniform,0.4715801777427022
logistic,auto,13,mae,1,1,1,1,1,0,1,0,30,constant,14,log2,7,5,nnRegressor,9,9,adam,uniform,0.4648354959649156
logistic,auto,26,mse,0,0,1,1,1,1,1,0,34,constant,14,log2,2,5,nnRegressor,9,9,adam,uniform,0.6715287985103422
logistic,brute,17,mae,0,1,1,1,1,1,1,1,9,invscaling,56,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6017804406880982
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,56,auto,16,10,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,ball_tree,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
relu,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,brute,20,mae,0,0,0,1,1,1,0,1,33,adaptive,90,auto,9,8,nnRegressor,4,2,adam,distance,0.12990476356509773
logistic,brute,20,mae,0,1,1,1,1,1,0,1,2,adaptive,90,auto,19,8,nnRegressor,4,2,adam,distance,0.5226134175448285
logistic,brute,20,mae,0,1,1,1,1,1,1,0,16,constant,14,log2,7,5,nnRegressor,9,9,adam,uniform,0.6926543712998657
logistic,auto,19,poisson,1,1,1,1,1,0,1,0,30,constant,14,log2,7,8,nnRegressor,9,9,adam,uniform,0.4715801777427022
logistic,auto,13,mae,1,1,1,1,1,0,1,1,22,adaptive,49,auto,4,31,kneighborsRegressor,4,9,sgd,distance,0.4947841311465181
logistic,auto,26,mse,0,0,1,1,1,1,1,1,22,adaptive,49,auto,4,31,kneighborsRegressor,4,9,sgd,distance,0.7896555501518943
logistic,brute,20,mae,0,1,1,1,1,1,1,0,34,constant,14,log2,2,5,nnRegressor,9,9,adam,uniform,0.6926543712998657
logistic,brute,20,mae,0,1,1,1,1,1,1,0,16,constant,14,log2,7,5,nnRegressor,9,9,adam,uniform,0.6926543712998657
logistic,auto,26,mse,0,0,1,1,1,1,1,0,34,constant,14,log2,2,5,nnRegressor,9,9,adam,uniform,0.6715287985103422
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,56,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,56,auto,16,10,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,56,auto,16,10,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,ball_tree,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
relu,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,0,34,constant,14,log2,2,5,nnRegressor,4,9,adam,uniform,0.6603769983203559
logistic,brute,20,mae,0,1,1,1,1,1,1,0,16,constant,14,log2,7,5,nnRegressor,9,9,adam,uniform,0.6926543712998657
logistic,brute,20,mae,0,1,1,1,1,1,1,0,34,constant,14,log2,2,5,nnRegressor,9,9,adam,uniform,0.6926543712998657
logistic,auto,26,mse,0,0,1,1,1,1,1,1,11,invscaling,56,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,56,auto,16,10,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,56,auto,16,40,randomForestRegressor,3,6,adam,uniform,0.6145734946240189
logistic,auto,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
logistic,ball_tree,26,mse,0,0,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6326880597800953
relu,auto,26,mse,0,0,1,1,1,1,1,1,22,adaptive,82,auto,2,31,kneighborsRegressor,4,9,sgd,distance,0.7896555501518943
