activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,27,entropy,1,0,0,0,0,0,0,0,35,constant,48,log2,13,10,randomForestClassifier,4,3,sgd,uniform,0.5531135531135531
logistic,brute,32,entropy,0,0,0,0,1,0,0,0,26,adaptive,40,auto,13,24,randomForestClassifier,3,3,lbfgs,uniform,0.7435897435897436
identity,ball_tree,32,entropy,1,0,1,0,1,0,1,1,15,adaptive,60,log2,19,4,randomForestClassifier,9,8,lbfgs,uniform,0.7545787545787546
identity,auto,12,gini,0,0,1,1,0,0,0,1,20,adaptive,83,sqrt,5,29,nnClassifier,9,9,adam,distance,0.5982905982905983
identity,ball_tree,16,gini,0,1,1,0,1,0,0,1,3,invscaling,40,log2,15,22,kneighborsClassifier,6,10,sgd,uniform,0.7155067155067155
relu,kd_tree,10,entropy,0,1,0,0,0,0,1,1,11,adaptive,2,auto,8,19,nnClassifier,8,2,adam,uniform,0.5982905982905983
logistic,ball_tree,24,entropy,1,0,1,1,0,0,1,0,33,constant,27,auto,11,39,randomForestClassifier,1,1,sgd,uniform,0.5787545787545788
logistic,brute,17,gini,1,1,1,1,1,0,1,1,2,invscaling,76,sqrt,16,40,nnClassifier,8,7,adam,distance,0.5604395604395604
relu,kd_tree,22,entropy,1,1,0,0,1,0,1,1,17,constant,67,auto,8,17,randomForestClassifier,4,9,lbfgs,uniform,0.7521367521367521
logistic,brute,24,entropy,0,1,1,1,1,1,0,0,24,invscaling,60,sqrt,8,18,kneighborsClassifier,4,3,lbfgs,uniform,0.905982905982906
relu,kd_tree,19,gini,1,1,0,1,1,1,0,1,33,constant,74,sqrt,10,36,nnClassifier,6,9,lbfgs,uniform,0.5164835164835165
identity,kd_tree,10,gini,0,0,1,1,0,1,0,0,11,constant,76,log2,2,14,kneighborsClassifier,4,2,adam,uniform,0.6703296703296703
relu,kd_tree,15,entropy,0,0,1,0,0,1,0,0,18,adaptive,32,log2,8,24,kneighborsClassifier,9,1,lbfgs,uniform,0.7142857142857143
relu,kd_tree,28,gini,0,0,0,1,0,1,0,1,28,invscaling,66,auto,13,18,nnClassifier,7,6,lbfgs,uniform,0.5006105006105006
logistic,ball_tree,10,gini,0,0,0,0,1,0,1,0,31,invscaling,5,sqrt,14,25,kneighborsClassifier,4,8,lbfgs,uniform,0.6923076923076923
identity,auto,29,entropy,0,1,0,1,1,1,1,1,36,constant,58,sqrt,3,18,randomForestClassifier,1,5,lbfgs,distance,0.9413919413919414
tanh,ball_tree,23,entropy,1,1,0,0,0,0,0,1,5,adaptive,15,auto,17,13,kneighborsClassifier,10,8,adam,distance,0.5567765567765568
tanh,ball_tree,25,gini,0,0,0,1,1,1,1,0,39,adaptive,56,auto,3,28,kneighborsClassifier,9,7,sgd,uniform,0.9304029304029304
tanh,brute,26,gini,1,1,0,0,0,1,0,0,14,invscaling,61,sqrt,4,7,kneighborsClassifier,10,1,sgd,distance,0.7118437118437119
logistic,auto,22,entropy,0,1,0,0,1,1,0,1,3,invscaling,74,log2,16,23,nnClassifier,8,2,lbfgs,uniform,0.5177045177045178
identity,auto,29,entropy,0,1,0,1,1,1,1,1,36,constant,58,sqrt,3,18,randomForestClassifier,1,5,lbfgs,distance,0.9413919413919414
tanh,ball_tree,25,gini,0,0,0,1,1,1,1,0,39,adaptive,56,auto,3,28,kneighborsClassifier,9,7,sgd,uniform,0.9304029304029304
logistic,brute,24,entropy,0,1,1,1,1,1,0,0,24,invscaling,60,sqrt,8,18,kneighborsClassifier,4,3,lbfgs,uniform,0.905982905982906
identity,ball_tree,32,entropy,1,0,1,0,1,0,1,1,15,adaptive,60,log2,19,4,randomForestClassifier,9,8,lbfgs,uniform,0.7545787545787546
relu,kd_tree,22,entropy,1,1,0,0,1,0,1,1,17,constant,67,auto,8,17,randomForestClassifier,4,9,lbfgs,uniform,0.7521367521367521
logistic,brute,32,entropy,0,0,0,0,1,0,0,0,26,adaptive,40,auto,13,24,randomForestClassifier,3,3,lbfgs,uniform,0.7435897435897436
identity,ball_tree,16,gini,0,1,1,0,1,0,0,1,3,invscaling,40,log2,15,22,kneighborsClassifier,6,10,sgd,uniform,0.7155067155067155
relu,kd_tree,15,entropy,0,0,1,0,0,1,0,0,18,adaptive,32,log2,8,24,kneighborsClassifier,9,1,lbfgs,uniform,0.7142857142857143
tanh,brute,26,gini,1,1,0,0,0,1,0,0,14,invscaling,61,sqrt,4,7,kneighborsClassifier,10,1,sgd,distance,0.7118437118437119
logistic,ball_tree,10,gini,0,0,0,0,1,0,1,0,31,invscaling,5,sqrt,14,25,kneighborsClassifier,4,8,lbfgs,uniform,0.6923076923076923
identity,auto,29,entropy,0,1,0,1,1,1,1,0,39,adaptive,56,auto,3,28,kneighborsClassifier,9,7,sgd,uniform,0.9304029304029304
tanh,ball_tree,25,gini,0,0,0,1,1,1,1,0,24,invscaling,60,sqrt,8,18,kneighborsClassifier,4,3,lbfgs,uniform,0.9181929181929182
logistic,brute,24,entropy,0,1,1,1,1,1,1,1,15,adaptive,60,log2,19,4,randomForestClassifier,9,8,lbfgs,uniform,0.9377289377289377
identity,ball_tree,32,entropy,1,0,1,0,1,0,1,1,17,constant,67,auto,8,17,randomForestClassifier,4,9,lbfgs,uniform,0.7448107448107448
relu,brute,25,entropy,1,1,0,0,1,0,0,0,26,constant,40,auto,13,24,randomForestClassifier,3,3,lbfgs,uniform,0.7472527472527473
logistic,brute,32,entropy,0,0,0,0,0,0,0,1,3,invscaling,40,log2,15,22,kneighborsClassifier,6,10,sgd,uniform,0.5616605616605617
identity,ball_tree,16,gini,0,1,1,1,1,0,0,0,18,adaptive,32,log2,8,24,kneighborsClassifier,9,1,lbfgs,uniform,0.6593406593406593
relu,kd_tree,15,entropy,0,0,1,0,0,1,0,0,14,invscaling,61,sqrt,4,7,kneighborsClassifier,10,1,sgd,distance,0.7142857142857143
tanh,brute,26,gini,1,1,0,0,0,1,1,0,31,invscaling,5,sqrt,14,25,kneighborsClassifier,4,8,lbfgs,uniform,0.7521367521367521
logistic,ball_tree,10,gini,0,0,0,0,1,0,1,1,36,constant,94,sqrt,3,18,randomForestClassifier,1,5,lbfgs,distance,0.73992673992674
identity,auto,29,entropy,0,1,0,1,1,1,1,1,36,constant,58,sqrt,3,18,randomForestClassifier,1,5,lbfgs,distance,0.9413919413919414
logistic,brute,24,entropy,0,1,1,1,1,1,1,1,15,adaptive,60,log2,19,4,randomForestClassifier,9,8,lbfgs,uniform,0.9377289377289377
tanh,ball_tree,25,gini,0,0,0,1,1,1,1,0,39,adaptive,56,auto,3,28,kneighborsClassifier,9,7,sgd,uniform,0.9304029304029304
identity,auto,29,entropy,0,1,0,1,1,1,1,0,39,adaptive,56,auto,3,28,kneighborsClassifier,9,7,sgd,uniform,0.9304029304029304
tanh,ball_tree,25,gini,0,0,0,1,1,1,1,0,24,invscaling,60,sqrt,8,18,kneighborsClassifier,4,3,lbfgs,uniform,0.9181929181929182
logistic,brute,24,entropy,0,1,1,1,1,1,0,0,24,invscaling,60,sqrt,8,18,kneighborsClassifier,4,3,lbfgs,uniform,0.905982905982906
