activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9384615384615385
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9375565610859729
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,log2,2,40,randomForestClassifier,1,8,sgd,uniform,0.9294117647058824
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,sqrt,2,40,randomForestClassifier,1,8,sgd,uniform,0.9230769230769231
relu,brute,17,entropy,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,19,invscaling,78,log2,20,17,kneighborsClassifier,5,7,sgd,uniform,0.9221719457013575
identity,auto,19,entropy,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,4,invscaling,27,log2,3,2,randomForestClassifier,8,8,lbfgs,distance,0.9194570135746606
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,24,constant,42,log2,15,9,kneighborsClassifier,2,5,adam,distance,0.9176470588235294
relu,ball_tree,30,entropy,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,40,constant,42,log2,10,9,kneighborsClassifier,2,5,adam,distance,0.9131221719457013
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,39,invscaling,23,auto,17,20,kneighborsClassifier,10,1,lbfgs,distance,0.9131221719457013
relu,ball_tree,11,entropy,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9131221719457013
