activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,26,gini,0,1,0,1,1,14,constant,90,sqrt,5,29,randomForestClassifier,5,9,sgd,distance,0.8
relu,brute,21,entropy,1,1,1,0,0,8,constant,95,auto,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
logistic,brute,17,entropy,1,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
relu,brute,21,entropy,1,1,1,0,0,8,constant,95,log2,14,32,randomForestClassifier,9,8,adam,distance,0.8333333333333334
tanh,brute,21,entropy,1,1,1,0,0,16,constant,67,log2,18,12,randomForestClassifier,6,5,sgd,distance,0.8351851851851851
identity,auto,32,entropy,1,1,1,0,0,16,constant,67,log2,18,12,randomForestClassifier,6,5,sgd,distance,0.8351851851851851
tanh,brute,17,entropy,1,1,1,0,0,16,constant,67,log2,18,12,randomForestClassifier,6,5,sgd,distance,0.8351851851851851
relu,brute,21,entropy,1,1,1,0,1,25,constant,86,sqrt,11,28,randomForestClassifier,9,7,adam,distance,0.8351851851851851
logistic,ball_tree,24,entropy,1,1,1,1,1,25,adaptive,86,sqrt,11,28,randomForestClassifier,9,7,adam,distance,0.8462962962962963
tanh,brute,17,entropy,1,1,1,0,0,14,constant,90,sqrt,5,29,randomForestClassifier,5,9,sgd,uniform,0.8444444444444444
relu,ball_tree,26,gini,1,1,0,1,0,10,adaptive,46,log2,18,8,kneighborsClassifier,4,2,adam,distance,0.8407407407407408
relu,brute,21,entropy,1,1,1,0,1,14,constant,90,sqrt,5,29,randomForestClassifier,5,9,sgd,distance,0.8388888888888889
tanh,brute,17,entropy,1,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
relu,brute,21,entropy,1,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
tanh,brute,17,entropy,1,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
logistic,ball_tree,24,entropy,1,1,1,1,0,14,constant,90,sqrt,5,29,randomForestClassifier,5,9,sgd,uniform,0.8388888888888889
relu,brute,21,entropy,1,1,1,0,0,8,constant,95,auto,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
logistic,brute,17,entropy,1,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
relu,ball_tree,24,entropy,1,1,1,1,0,40,constant,90,sqrt,5,29,randomForestClassifier,5,9,sgd,uniform,0.8388888888888889
tanh,brute,17,entropy,1,1,1,0,0,10,adaptive,46,log2,18,8,kneighborsClassifier,4,2,adam,distance,0.825925925925926
relu,ball_tree,26,gini,1,1,0,1,1,14,constant,90,sqrt,5,29,randomForestClassifier,5,9,sgd,distance,0.8333333333333334
relu,brute,21,entropy,1,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
tanh,brute,17,entropy,1,1,1,0,0,26,constant,95,log2,14,5,randomForestClassifier,9,8,adam,distance,0.8388888888888889
relu,brute,21,entropy,1,1,1,1,0,8,constant,95,log2,14,24,randomForestClassifier,9,9,adam,distance,0.8425925925925926
tanh,brute,17,entropy,1,1,1,0,0,14,constant,90,sqrt,5,29,randomForestClassifier,1,9,sgd,uniform,0.8444444444444444
logistic,ball_tree,24,entropy,1,1,1,1,0,8,constant,95,auto,14,24,randomForestClassifier,2,8,adam,distance,0.8425925925925926
relu,brute,21,entropy,0,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.7611111111111111
logistic,brute,17,entropy,1,0,1,0,1,25,adaptive,86,sqrt,11,28,randomForestClassifier,9,7,adam,distance,0.8277777777777777
