activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,25,entropy,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,11,10,nnClassifier,7,4,adam,uniform,0.978515625
relu,brute,12,entropy,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,uniform,0.978515625
relu,auto,26,entropy,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,33,invscaling,28,auto,2,9,nnClassifier,8,6,lbfgs,distance,0.978515625
tanh,ball_tree,31,entropy,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,36,adaptive,57,sqrt,9,35,nnClassifier,10,10,lbfgs,distance,0.978515625
tanh,brute,17,gini,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,33,invscaling,31,auto,10,23,nnClassifier,2,3,lbfgs,uniform,0.9765625
identity,kd_tree,16,gini,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,2,adaptive,43,auto,7,24,randomForestClassifier,2,9,lbfgs,distance,0.6015625
tanh,kd_tree,27,gini,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,6,constant,22,auto,12,40,randomForestClassifier,1,4,lbfgs,distance,0.33984375
relu,kd_tree,30,gini,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,33,constant,73,auto,14,22,kneighborsClassifier,8,3,sgd,distance,0.03125
logistic,brute,25,gini,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,32,invscaling,30,sqrt,2,11,nnClassifier,9,1,lbfgs,distance,0.97265625
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.98046875
tanh,auto,25,entropy,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,distance,0.978515625
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,2,invscaling,28,auto,2,9,nnClassifier,8,6,lbfgs,distance,0.98046875
relu,auto,26,entropy,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,36,adaptive,57,sqrt,9,35,nnClassifier,10,10,lbfgs,distance,0.974609375
tanh,ball_tree,31,entropy,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,33,invscaling,31,auto,10,23,nnClassifier,2,3,lbfgs,distance,0.978515625
tanh,brute,17,gini,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,2,adaptive,43,auto,7,24,randomForestClassifier,2,9,lbfgs,distance,0.6484375
identity,kd_tree,16,gini,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,21,constant,22,auto,12,40,randomForestClassifier,1,4,adam,distance,0.53515625
tanh,kd_tree,27,gini,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,33,constant,73,auto,14,22,kneighborsClassifier,8,3,sgd,distance,0.01171875
relu,kd_tree,30,gini,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,2,adaptive,56,auto,17,21,nnClassifier,3,9,adam,uniform,0.978515625
logistic,brute,25,gini,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,adaptive,56,auto,17,21,nnClassifier,3,9,adam,uniform,0.984375
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,32,invscaling,30,sqrt,2,11,nnClassifier,9,1,lbfgs,distance,0.982421875
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.98046875
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,2,invscaling,28,auto,2,9,nnClassifier,8,6,lbfgs,distance,0.98046875
tanh,auto,25,entropy,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,11,10,nnClassifier,7,4,adam,uniform,0.978515625
relu,brute,12,entropy,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,uniform,0.978515625
relu,auto,26,entropy,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,33,invscaling,28,auto,2,9,nnClassifier,8,6,lbfgs,distance,0.978515625
tanh,ball_tree,31,entropy,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,36,adaptive,57,sqrt,9,35,nnClassifier,10,10,lbfgs,distance,0.978515625
tanh,auto,25,entropy,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,distance,0.978515625
tanh,ball_tree,31,entropy,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,33,invscaling,31,auto,10,23,nnClassifier,2,3,lbfgs,distance,0.978515625
logistic,brute,25,gini,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,32,invscaling,30,sqrt,2,17,nnClassifier,9,1,lbfgs,uniform,0.978515625
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.982421875
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,2,invscaling,28,auto,2,39,nnClassifier,8,6,lbfgs,distance,0.9765625
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,11,10,nnClassifier,7,4,adam,uniform,0.98046875
tanh,auto,25,entropy,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,uniform,0.98046875
relu,brute,12,entropy,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,33,invscaling,28,auto,2,9,nnClassifier,8,8,sgd,distance,0.984375
relu,auto,26,entropy,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,36,adaptive,57,sqrt,9,35,nnClassifier,10,10,lbfgs,distance,0.974609375
identity,ball_tree,31,entropy,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,distance,0.98046875
tanh,auto,25,entropy,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,33,invscaling,31,auto,10,23,nnClassifier,2,3,lbfgs,distance,0.974609375
tanh,ball_tree,31,entropy,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,2,adaptive,56,auto,17,21,nnClassifier,3,9,adam,distance,0.978515625
logistic,brute,25,gini,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,adaptive,56,auto,17,21,nnClassifier,3,9,adam,uniform,0.984375
relu,brute,12,entropy,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,33,invscaling,28,auto,2,9,nnClassifier,8,8,sgd,distance,0.984375
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,32,invscaling,30,sqrt,2,11,nnClassifier,9,1,lbfgs,distance,0.982421875
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.982421875
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.98046875
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,2,invscaling,28,auto,2,9,nnClassifier,8,6,lbfgs,distance,0.98046875
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,11,10,nnClassifier,7,4,adam,uniform,0.98046875
tanh,auto,25,entropy,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,uniform,0.98046875
identity,ball_tree,31,entropy,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,distance,0.98046875
tanh,auto,25,entropy,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,11,10,nnClassifier,7,4,adam,uniform,0.978515625
logistic,brute,25,gini,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,33,invscaling,28,auto,2,9,nnClassifier,8,8,sgd,distance,0.984375
relu,brute,12,entropy,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,32,invscaling,30,sqrt,2,11,nnClassifier,9,1,lbfgs,distance,0.98046875
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.984375
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.978515625
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,2,invscaling,28,auto,2,9,nnClassifier,8,6,lbfgs,distance,0.9765625
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,11,22,nnClassifier,7,4,adam,uniform,0.98046875
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,uniform,0.984375
tanh,auto,25,entropy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,distance,0.98046875
identity,ball_tree,31,entropy,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,11,invscaling,100,log2,11,10,nnClassifier,7,4,adam,uniform,0.978515625
tanh,auto,25,entropy,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,2,adaptive,56,auto,17,21,nnClassifier,3,9,adam,uniform,0.9765625
logistic,brute,25,gini,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,adaptive,56,auto,17,21,nnClassifier,3,9,adam,uniform,0.984375
relu,brute,12,entropy,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,33,invscaling,28,auto,2,9,nnClassifier,8,8,sgd,distance,0.984375
logistic,brute,25,gini,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,33,invscaling,28,auto,2,9,nnClassifier,8,8,sgd,distance,0.984375
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.984375
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,uniform,0.984375
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,32,invscaling,30,sqrt,2,11,nnClassifier,9,1,lbfgs,distance,0.982421875
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.982421875
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.98046875
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,2,invscaling,28,auto,2,9,nnClassifier,8,6,lbfgs,distance,0.98046875
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,11,10,nnClassifier,7,4,adam,uniform,0.98046875
logistic,brute,25,gini,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,33,invscaling,28,auto,2,9,nnClassifier,8,8,sgd,distance,0.984375
relu,brute,12,entropy,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,33,invscaling,28,auto,10,9,nnClassifier,8,8,sgd,distance,0.984375
logistic,brute,25,gini,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.978515625
relu,ball_tree,12,entropy,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,18,adaptive,1,log2,14,8,nnClassifier,1,6,adam,uniform,0.98046875
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,32,invscaling,30,sqrt,2,11,nnClassifier,9,1,lbfgs,distance,0.9765625
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,11,constant,100,log2,14,10,nnClassifier,7,4,adam,uniform,0.978515625
relu,ball_tree,11,entropy,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,11,constant,100,log2,14,10,kneighborsClassifier,7,4,adam,uniform,0.0078125
relu,ball_tree,11,entropy,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,2,constant,2,auto,2,9,nnClassifier,8,6,lbfgs,distance,0.9765625
relu,brute,12,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,11,constant,100,log2,11,10,nnClassifier,7,4,adam,uniform,0.98046875
relu,brute,21,entropy,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,2,adaptive,24,auto,17,21,nnClassifier,3,9,adam,uniform,0.984375
