activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,23,entropy,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,13,adaptive,94,auto,19,21,nnClassifier,10,1,lbfgs,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
identity,ball_tree,13,entropy,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
relu,brute,25,gini,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,30,invscaling,5,log2,20,38,nnClassifier,5,6,sgd,distance,1.0
tanh,kd_tree,8,gini,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,24,adaptive,83,sqrt,20,13,kneighborsClassifier,10,10,sgd,distance,0.9989440337909187
relu,auto,23,entropy,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,18,adaptive,28,sqrt,10,21,kneighborsClassifier,9,8,sgd,distance,0.9989440337909187
identity,auto,18,gini,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,18,adaptive,19,sqrt,4,40,kneighborsClassifier,3,5,adam,distance,0.9989440337909187
logistic,auto,27,entropy,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,14,adaptive,48,log2,18,15,kneighborsClassifier,6,2,lbfgs,distance,0.9978880675818373
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,39,adaptive,94,auto,19,21,nnClassifier,6,1,lbfgs,uniform,1.0
identity,auto,23,entropy,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
identity,ball_tree,13,entropy,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,30,invscaling,5,log2,20,38,nnClassifier,5,6,sgd,distance,1.0
relu,brute,25,gini,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,24,adaptive,83,sqrt,20,13,kneighborsClassifier,10,10,sgd,distance,0.9989440337909187
tanh,kd_tree,8,gini,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,18,adaptive,28,sqrt,10,21,kneighborsClassifier,9,8,sgd,distance,0.9989440337909187
relu,auto,23,entropy,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,18,adaptive,19,sqrt,4,40,kneighborsClassifier,3,5,adam,distance,0.9989440337909187
identity,auto,18,gini,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,14,adaptive,48,log2,18,15,kneighborsClassifier,6,2,lbfgs,distance,0.9978880675818373
logistic,auto,27,entropy,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,7,invscaling,33,auto,2,39,nnClassifier,4,4,sgd,uniform,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,7,invscaling,33,auto,2,39,nnClassifier,4,4,sgd,uniform,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
identity,auto,23,entropy,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,13,adaptive,94,auto,19,21,nnClassifier,10,1,lbfgs,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
identity,ball_tree,13,entropy,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
relu,brute,25,gini,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,30,invscaling,5,log2,20,38,nnClassifier,5,6,sgd,distance,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,39,adaptive,94,auto,19,21,nnClassifier,6,1,lbfgs,uniform,1.0
identity,auto,23,entropy,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,37,constant,4,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,13,adaptive,94,auto,19,21,nnClassifier,10,1,lbfgs,uniform,1.0
identity,brute,23,entropy,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,35,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
identity,ball_tree,13,gini,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,30,invscaling,5,log2,20,38,nnClassifier,5,6,sgd,distance,1.0
relu,brute,25,gini,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,37,constant,80,log2,18,3,nnClassifier,6,5,sgd,distance,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,39,adaptive,94,auto,19,21,nnClassifier,6,1,lbfgs,uniform,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
identity,kd_tree,23,entropy,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,randomForestClassifier,1,6,sgd,uniform,0.996832101372756
tanh,brute,11,gini,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,7,invscaling,33,auto,2,39,nnClassifier,4,4,sgd,uniform,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,7,invscaling,33,auto,2,39,nnClassifier,4,4,sgd,uniform,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
identity,auto,23,entropy,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,13,adaptive,94,auto,19,21,nnClassifier,10,1,lbfgs,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
identity,ball_tree,13,entropy,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
relu,brute,25,gini,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,30,invscaling,5,log2,20,38,nnClassifier,5,6,sgd,distance,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,39,adaptive,94,auto,19,21,nnClassifier,6,1,lbfgs,uniform,1.0
identity,auto,23,entropy,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,13,adaptive,94,auto,19,21,nnClassifier,10,1,lbfgs,uniform,1.0
identity,auto,23,entropy,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,30,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
identity,ball_tree,13,entropy,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,30,invscaling,5,log2,20,38,nnClassifier,5,6,sgd,distance,1.0
relu,brute,25,gini,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,39,adaptive,94,auto,19,21,nnClassifier,6,1,lbfgs,uniform,1.0
relu,auto,25,gini,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
identity,auto,23,entropy,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,40,invscaling,65,sqrt,5,32,nnClassifier,1,6,sgd,uniform,1.0
relu,brute,11,gini,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,7,invscaling,33,log2,2,39,nnClassifier,4,4,sgd,uniform,1.0
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,7,invscaling,33,auto,2,39,nnClassifier,4,4,sgd,uniform,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
